satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Probabilidad_de_irse,Riesgo,nombre
0.38,0.53,2,157,3,0,1,0,7,1,1.0,Alto,Empleado 1
0.8,0.86,5,262,6,0,1,0,7,2,0.99,Alto,Empleado 2
0.11,0.88,7,272,4,0,1,0,7,2,1.0,Alto,Empleado 3
0.72,0.87,5,223,5,0,1,0,7,1,1.0,Alto,Empleado 4
0.37,0.52,2,159,3,0,1,0,7,1,1.0,Alto,Empleado 5
0.41,0.5,2,153,3,0,1,0,7,1,1.0,Alto,Empleado 6
0.1,0.77,6,247,4,0,1,0,7,1,1.0,Alto,Empleado 7
0.92,0.85,5,259,5,0,1,0,7,1,1.0,Alto,Empleado 8
0.89,1.0,5,224,5,0,1,0,7,1,1.0,Alto,Empleado 9
0.42,0.53,2,142,3,0,1,0,7,1,1.0,Alto,Empleado 10
0.45,0.54,2,135,3,0,1,0,7,1,1.0,Alto,Empleado 11
0.11,0.81,6,305,4,0,1,0,7,1,1.0,Alto,Empleado 12
0.84,0.92,4,234,5,0,1,0,7,1,1.0,Alto,Empleado 13
0.41,0.55,2,148,3,0,1,0,7,1,1.0,Alto,Empleado 14
0.36,0.56,2,137,3,0,1,0,7,1,1.0,Alto,Empleado 15
0.38,0.54,2,143,3,0,1,0,7,1,1.0,Alto,Empleado 16
0.45,0.47,2,160,3,0,1,0,7,1,1.0,Alto,Empleado 17
0.78,0.99,4,255,6,0,1,0,7,1,1.0,Alto,Empleado 18
0.45,0.51,2,160,3,1,1,1,7,1,1.0,Alto,Empleado 19
0.76,0.89,5,262,5,0,1,0,7,1,1.0,Alto,Empleado 20
0.11,0.83,6,282,4,0,1,0,7,1,1.0,Alto,Empleado 21
0.38,0.55,2,147,3,0,1,0,7,1,1.0,Alto,Empleado 22
0.09,0.95,6,304,4,0,1,0,7,1,1.0,Alto,Empleado 23
0.46,0.57,2,139,3,0,1,0,7,1,1.0,Alto,Empleado 24
0.4,0.53,2,158,3,0,1,0,7,1,1.0,Alto,Empleado 25
0.89,0.92,5,242,5,0,1,0,7,1,1.0,Alto,Empleado 26
0.82,0.87,4,239,5,0,1,0,7,1,1.0,Alto,Empleado 27
0.4,0.49,2,135,3,0,1,0,7,1,1.0,Alto,Empleado 28
0.41,0.46,2,128,3,0,1,0,2,1,1.0,Alto,Empleado 29
0.38,0.5,2,132,3,0,1,0,2,1,1.0,Alto,Empleado 30
0.09,0.62,6,294,4,0,1,0,2,1,0.99,Alto,Empleado 31
0.45,0.57,2,134,3,0,1,0,3,1,1.0,Alto,Empleado 32
0.4,0.51,2,145,3,0,1,0,3,1,1.0,Alto,Empleado 33
0.45,0.55,2,140,3,0,1,0,3,1,1.0,Alto,Empleado 34
0.84,0.87,4,246,6,0,1,0,3,1,1.0,Alto,Empleado 35
0.1,0.94,6,255,4,0,1,0,9,1,1.0,Alto,Empleado 36
0.38,0.46,2,137,3,0,1,0,9,1,1.0,Alto,Empleado 37
0.45,0.5,2,126,3,0,1,0,9,1,1.0,Alto,Empleado 38
0.11,0.89,6,306,4,0,1,0,9,1,1.0,Alto,Empleado 39
0.41,0.54,2,152,3,0,1,0,9,1,1.0,Alto,Empleado 40
0.87,0.88,5,269,5,0,1,0,9,1,1.0,Alto,Empleado 41
0.45,0.48,2,158,3,0,1,0,9,1,1.0,Alto,Empleado 42
0.4,0.46,2,127,3,0,1,0,9,1,1.0,Alto,Empleado 43
0.1,0.8,7,281,4,0,1,0,9,1,1.0,Alto,Empleado 44
0.09,0.89,6,276,4,0,1,0,9,1,1.0,Alto,Empleado 45
0.84,0.74,3,182,4,0,1,0,9,1,1.0,Alto,Empleado 46
0.4,0.55,2,147,3,0,1,0,8,1,1.0,Alto,Empleado 47
0.57,0.7,3,273,6,0,1,0,8,1,0.89,Alto,Empleado 48
0.4,0.54,2,148,3,0,1,0,8,1,1.0,Alto,Empleado 49
0.43,0.47,2,147,3,0,1,0,8,1,1.0,Alto,Empleado 50
0.13,0.78,6,152,2,0,1,0,8,1,0.69,Medio,Empleado 51
0.44,0.55,2,135,3,0,1,0,8,1,1.0,Alto,Empleado 52
0.38,0.55,2,134,3,0,1,0,8,1,1.0,Alto,Empleado 53
0.39,0.54,2,132,3,0,1,0,8,1,1.0,Alto,Empleado 54
0.1,0.92,7,307,4,0,1,0,8,1,1.0,Alto,Empleado 55
0.37,0.46,2,140,3,0,1,0,8,1,1.0,Alto,Empleado 56
0.11,0.94,7,255,4,0,1,0,8,1,1.0,Alto,Empleado 57
0.1,0.81,6,309,4,0,1,0,9,1,1.0,Alto,Empleado 58
0.38,0.54,2,128,3,0,1,0,9,1,1.0,Alto,Empleado 59
0.85,1.0,4,225,5,0,1,0,9,1,1.0,Alto,Empleado 60
0.85,0.91,5,226,5,0,1,0,4,2,0.99,Alto,Empleado 61
0.11,0.93,7,308,4,0,1,0,0,2,1.0,Alto,Empleado 62
